,City,Lat,Lng,Max Temp,Humidity,Cloudiness,WindSpeed,Country,Date
374,Batemans Bay,-35.72,150.18,45.0,80,0,6.89,AU,1589042744
375,Betafo,-19.83,46.85,58.78,84,15,4.72,MG,1589042744
376,Ürümqi,43.8,87.6,69.8,13,96,4.47,CN,1589042745
377,Jönköping,57.78,14.16,62.6,36,74,10.29,SE,1589042745
378,Dunedin,-45.87,170.5,50.0,90,26,4.0,NZ,1589042745
379,Athabasca,54.72,-113.29,45.68,57,12,10.74,CA,1589042745
380,Toguchin,55.24,84.39,58.01,63,32,2.84,RU,1589042746
381,Mujiayingzi,42.12,118.78,56.5,50,85,9.51,CN,1589042746
382,Ardmore,34.17,-97.14,64.4,42,1,8.05,US,1589042746
383,East London,-33.02,27.91,68.22,80,1,6.67,ZA,1589042453
384,Chipinge,-20.19,32.62,56.21,82,7,3.94,ZW,1589042747
385,Itoman,26.12,127.67,75.2,88,40,8.05,JP,1589042175
386,Tuktoyaktuk,69.45,-133.04,26.6,79,40,16.11,CA,1589042747
387,Margate,51.38,1.39,61.0,64,60,3.0,GB,1589042747
388,Båtsfjord,70.63,29.72,32.65,89,85,2.21,NO,1589042748
389,Chilca,-12.52,-76.74,73.4,64,69,19.46,PE,1589042748
390,Dera Bugti,29.03,69.15,93.06,13,0,6.38,PK,1589042748
391,Verkhoyansk,67.54,133.38,25.66,96,100,1.99,RU,1589042748
392,Pombia,45.65,8.63,77.0,33,75,10.29,IT,1589042749
393,Tezu,27.92,96.17,73.8,52,0,4.43,IN,1589042749
394,Palauig,15.44,119.9,83.23,74,99,5.12,PH,1589042749
395,Gunnaur,28.25,78.43,94.14,20,18,13.11,IN,1589042749
396,Tadine,-21.55,167.88,71.26,84,4,13.94,NC,1589042750
397,Bastrop,32.76,-91.87,62.6,42,1,11.41,US,1589042750
398,Nome,64.5,-165.41,42.01,75,1,14.99,US,1589042750
399,Rincon,32.3,-81.24,69.01,42,20,9.17,US,1589042750
400,Codrington,-38.27,141.97,46.85,73,28,12.77,AU,1589042751
401,Požarevac,44.62,21.18,73.4,40,66,5.82,RS,1589042751
402,Yurla,59.33,54.32,60.22,50,0,5.66,RU,1589042751
403,Niltepec,16.57,-94.62,99.46,34,69,3.36,MX,1589042751
404,Auki,-8.77,160.7,79.02,87,78,5.57,SB,1589042752
405,Amroha,28.92,78.47,88.81,28,15,11.14,IN,1589042752
406,Ancud,-41.87,-73.82,55.0,100,90,14.99,CL,1589042508
407,Bakel,14.9,-12.46,111.63,9,40,2.04,SN,1589042752
408,Kimbe,-5.55,150.14,76.71,89,7,3.53,PG,1589042753
409,Kununurra,-15.77,128.73,75.2,60,90,2.62,AU,1589042753
410,Champerico,14.3,-91.92,89.6,55,40,4.7,GT,1589042172
411,Djibouti,11.5,42.5,87.8,79,1,12.57,DJ,1589042753
412,Keflavik,64.0,-22.56,44.6,33,20,11.41,IS,1589042754
413,Haimen,23.19,116.61,82.4,83,12,6.71,CN,1589042754
414,Tieling,42.29,123.84,66.99,52,100,5.19,CN,1589042754
415,Japura,-0.32,102.35,77.23,93,95,2.35,ID,1589042754
416,Bitburg,49.97,6.53,70.0,55,1,5.82,DE,1589042754
417,Araguaína,-7.19,-48.21,82.74,78,99,7.05,BR,1589042755
418,Vostok,46.49,135.88,46.63,95,100,2.55,RU,1589042755
419,San Carlos del Zulia,9.0,-71.91,94.06,52,85,2.33,VE,1589042755
420,Bandrele,-12.91,45.19,80.6,83,55,5.82,YT,1589042755
421,Voronovytsya,49.11,28.68,60.8,41,35,4.47,UA,1589042756
422,Sola,-13.88,167.55,75.2,94,27,1.12,VU,1589042167
423,Bogale,16.28,95.4,84.29,74,2,8.9,MM,1589042756
424,Makaha,21.47,-158.22,69.8,93,1,5.82,US,1589042757
425,Thinadhoo,0.53,72.93,85.21,78,100,14.74,MV,1589042161
426,Province of Groningen,53.25,6.75,70.0,43,0,12.75,NL,1589042458
427,Aripuanã,-9.17,-60.63,88.65,53,51,3.02,BR,1589042757
428,Assiniboia,49.63,-105.98,41.25,67,96,6.73,CA,1589042580
429,Poum,-20.23,164.02,74.66,76,29,12.86,NC,1589042758
430,Kyaikkami,16.08,97.57,84.81,76,27,7.02,MM,1589042758
431,Cosamaloapan,18.37,-95.8,91.62,52,3,9.35,MX,1589042758
432,Strezhevoy,60.73,77.59,60.8,55,88,4.47,RU,1589042759
433,Lagos,6.58,3.75,87.8,74,40,20.8,NG,1589042715
434,Moyale,3.52,39.06,69.96,86,87,6.33,KE,1589042759
435,Opuwo,-18.06,13.84,71.19,31,0,8.57,NA,1589042760
436,Maceió,-9.67,-35.74,86.0,62,40,9.17,BR,1589042648
437,Guhāgar,17.48,73.19,80.26,83,0,6.69,IN,1589042760
438,Darhan,49.49,105.92,41.0,66,0,4.38,MN,1589042760
439,Cabedelo,-6.98,-34.83,86.0,66,75,16.11,BR,1589042761
440,Chivay,-15.64,-71.6,59.9,38,79,3.4,PE,1589042761
441,Sarstedt,52.23,9.85,75.2,31,74,6.93,DE,1589042761
442,Kashiwazaki,37.37,138.55,55.99,92,99,6.17,JP,1589042761
443,Dembī Dolo,8.53,34.8,63.73,94,73,2.26,ET,1589042762
444,Fenoarivo,-18.93,47.44,62.6,88,20,9.17,MG,1589042762
445,Svetlaya,46.54,138.33,42.57,81,100,8.41,RU,1589042762
446,Alizai,33.54,70.35,76.17,51,41,1.74,PK,1589042762
447,Leningradskiy,69.38,178.42,19.63,95,51,7.11,RU,1589042763
448,Prado,-17.34,-39.22,76.1,65,89,14.72,BR,1589042763
449,Dāmghān,36.17,54.35,75.34,21,45,8.99,IR,1589042763
450,Atakent,40.85,68.51,67.51,64,55,5.91,KZ,1589042764
451,Parit Buntar,5.13,100.49,84.2,89,40,2.24,MY,1589042764
452,Najrān,17.49,44.13,89.6,21,0,13.87,SA,1589042764
453,Weihai,37.5,122.11,54.09,91,99,10.98,CN,1589042165
454,Nuuk,64.18,-51.72,41.0,75,75,19.46,GL,1589042765
455,Cassilândia,-19.11,-51.73,77.7,60,0,7.02,BR,1589042765
456,Ouadda,8.08,22.4,76.62,52,99,3.65,CF,1589042765
457,Le Port,-20.94,55.29,73.4,78,40,9.17,RE,1589042566
458,Adelaide,-34.93,138.6,55.4,62,75,5.82,AU,1589042525
459,Taganak,6.08,118.3,84.2,83,20,5.55,PH,1589042766
460,Labytnangi,66.66,66.42,32.94,92,67,2.15,RU,1589042767
461,Beringovskiy,63.05,179.32,32.22,98,100,33.69,RU,1589042767
462,Marzuq,14.4,46.47,81.05,35,0,8.08,YE,1589042767
463,Gigmoto,13.78,124.39,80.58,80,97,4.07,PH,1589042767
464,Parkersburg,39.27,-81.56,44.01,41,75,11.41,US,1589042768
465,Barras,-4.24,-42.29,88.86,57,8,6.4,BR,1589042768
466,Oddur,4.12,43.89,79.48,74,100,2.28,SO,1589042768
467,Berdigestyakh,62.1,126.7,21.92,96,17,3.13,RU,1589042768
468,Dudinka,69.41,86.18,32.0,98,75,15.66,RU,1589042769
469,Aljezur,37.32,-8.8,66.99,75,99,12.44,PT,1589042769
470,Morón,-34.65,-58.62,70.0,42,86,13.87,AR,1589042769
471,Bar Harbor,44.39,-68.2,37.0,95,90,9.17,US,1589042769
472,Agirish,61.92,63.02,63.79,49,65,5.41,RU,1589042770
473,Xam Nua,20.42,104.04,68.4,91,99,2.98,LA,1589042585
474,Yerbogachën,61.28,108.01,45.45,84,100,10.18,RU,1589042770
475,Comodoro Rivadavia,-45.87,-67.5,59.0,51,58,18.34,AR,1589042481
476,Kamenka,51.32,42.77,55.0,80,100,1.99,RU,1589042771
477,Benghazi,32.12,20.07,68.29,55,0,12.08,LY,1589042771
478,Kankan,10.39,-9.31,95.49,34,50,4.59,GN,1589042771
479,Kavieng,-2.57,150.8,83.07,80,0,8.75,PG,1589042772
480,Taseyevo,57.22,94.9,49.41,75,69,5.5,RU,1589042772
481,Vaasa,63.1,21.62,44.6,45,0,4.7,FI,1589042772
482,Mehamn,71.04,27.85,33.58,87,96,9.13,NO,1589042772
483,Yeniseysk,58.45,92.17,58.57,72,100,8.08,RU,1589042773
484,Øksfjord,70.24,22.35,41.0,38,98,5.82,NO,1589042773
485,Port Shepstone,-30.74,30.45,67.14,79,0,4.81,ZA,1589042773
486,Abalak,58.13,68.59,64.0,44,22,5.61,RU,1589042773
487,Zhangaözen,43.3,52.8,68.85,58,19,7.61,KZ,1589042774
488,Bathurst,-33.42,149.58,42.01,92,32,11.83,AU,1589042774
489,Monrovia,6.3,-10.8,82.4,88,75,10.29,LR,1589042774
490,Bandarbeyla,9.49,50.81,83.8,73,0,11.72,SO,1589042774
491,Yining,29.04,114.56,63.32,89,90,2.51,CN,1589042775
492,San Jose,37.34,-121.89,66.0,72,20,1.1,US,1589042572
493,Usinsk,65.99,57.53,47.08,64,69,5.64,RU,1589042775
494,Alice Springs,-23.7,133.88,53.6,54,92,8.05,AU,1589042623
495,Bara,10.37,10.73,98.98,28,56,4.9,NG,1589042776
496,Vardø,70.37,31.11,36.14,78,93,2.51,NO,1589042776
497,Sanāwad,22.18,76.07,94.03,16,48,2.53,IN,1589042776
498,Dolores,-36.31,-57.68,65.19,52,57,15.75,AR,1589042776
499,Verkhnevilyuysk,63.45,120.32,24.33,93,0,4.36,RU,1589042777
500,Shemgang,27.22,90.66,54.52,71,6,4.72,BT,1589042777
501,Murray Bridge,-35.12,139.27,48.99,92,51,7.72,AU,1589042777
502,Örnsköldsvik,63.29,18.72,42.8,45,39,13.87,SE,1589042777
503,Port Hedland,-20.32,118.57,75.2,29,71,5.82,AU,1589042778
504,Qūchān,37.11,58.51,62.65,50,0,0.81,IR,1589042778
505,College,64.86,-147.8,52.0,51,75,1.97,US,1589042778
506,Hamilton,39.18,-84.53,51.01,34,20,17.22,US,1589042685
507,Conakry,9.54,-13.68,84.2,79,75,2.24,GN,1589042734
508,Acapulco de Juárez,16.86,-99.89,86.0,70,5,4.7,MX,1589042528
509,Kavaratti,10.57,72.64,85.68,71,2,10.2,IN,1589042779
510,Plettenberg Bay,-34.05,23.37,64.04,83,5,4.54,ZA,1589042779
511,Santa Barbara,34.42,-119.7,57.2,93,90,3.36,US,1589042779
512,Valdez,1.25,-78.98,82.9,75,27,8.66,EC,1589042780
513,Ruska Poliana,49.42,31.92,50.9,67,32,6.46,UA,1589042780
514,Mannargudi,10.67,79.43,84.87,74,95,8.81,IN,1589042639
515,Türkan,40.36,50.22,57.2,87,90,20.8,AZ,1589042780
516,Pacific Grove,36.62,-121.92,57.2,76,75,6.93,US,1589042781
517,Chihuahua,28.5,-106.0,79.0,32,40,6.22,MX,1589042781
518,San Andrés,12.58,-81.7,87.8,74,75,16.11,CO,1589042781
519,Meulaboh,4.14,96.13,78.22,89,100,6.69,ID,1589042781
520,Dicabisagan,17.08,122.42,79.95,81,56,2.68,PH,1589042782
521,San Cristobal,7.77,-72.22,89.6,43,40,23.04,VE,1589042782
522,Soyo,-6.13,12.37,80.8,86,86,7.47,AO,1589042782
523,Phek,25.67,94.5,54.46,92,0,1.12,IN,1589042782
524,Rome,43.21,-75.46,37.0,69,90,20.8,US,1589042584
525,Xingtai,37.06,114.49,58.77,62,0,5.48,CN,1589042783
526,Clarksville,36.53,-87.36,55.99,50,1,12.75,US,1589042488
527,Ahipara,-35.17,173.17,56.75,81,40,4.74,NZ,1589042783
528,Batticaloa,7.71,81.69,81.72,84,100,6.69,LK,1589042784
529,Nacala,-14.54,40.67,74.25,81,40,9.78,MZ,1589042784
530,Victor Harbor,-35.57,138.62,48.99,95,56,8.12,AU,1589042784
531,Mossamedes,-15.2,12.15,84.94,42,0,8.41,AO,1589042784
532,Shubarkuduk,49.14,56.49,64.11,52,17,11.68,KZ,1589042785
533,Saint-Augustin,51.23,-58.65,43.29,73,73,14.99,CA,1589042583
534,Saint-Ambroise,48.55,-71.33,41.0,57,81,5.99,CA,1589042785
535,Baruun-Urt,46.68,113.28,39.92,90,66,16.37,MN,1589042785
536,Roebourne,-20.78,117.13,77.27,48,81,9.78,AU,1589042786
537,Taksimo,56.34,114.88,36.3,74,100,3.02,RU,1589042786
538,Arroyo de la Encomienda,41.61,-4.8,68.0,52,84,11.41,ES,1589042786
539,Sri Aman,1.24,111.46,78.8,100,100,2.24,MY,1589042786
540,Itanagar,27.1,93.62,71.94,64,1,3.91,IN,1589042787
541,Sibu,2.3,111.82,80.6,88,75,1.12,MY,1589042787
542,Bubaque,11.28,-15.83,77.95,76,36,13.56,GW,1589042787
543,Hangu,39.25,117.79,60.8,77,80,4.47,CN,1589042787
544,Dzaoudzi,-12.79,45.27,80.6,83,62,5.82,YT,1589042788
545,Al Bardīyah,31.76,25.09,65.66,65,1,13.06,LY,1589042788
546,Concarneau,47.88,-3.92,64.4,88,72,4.7,FR,1589042788
547,San-Pédro,4.75,-6.64,84.79,73,100,10.22,CI,1589042759
548,Kangaatsiaq,68.31,-53.46,34.7,82,99,4.81,GL,1589042789
549,Gorontalo,0.54,123.06,77.0,88,93,1.99,ID,1589042789
550,Esim,4.87,-2.24,83.12,80,98,8.75,GH,1589042789
551,Tamworth,52.63,-1.7,70.0,56,67,8.05,GB,1589042789
552,Taoudenni,22.68,-3.98,108.93,9,0,10.85,ML,1589042790
553,Vágur,61.47,-6.81,36.45,79,68,27.81,FO,1589042790
554,Saint Anthony,45.02,-93.22,53.01,29,90,5.82,US,1589042790
555,Tygda,53.12,126.33,44.42,69,100,5.79,RU,1589042790
556,Salalah,17.02,54.09,84.2,83,20,6.93,OM,1589042536
557,Merrill,45.18,-89.68,48.2,31,1,13.87,US,1589042791
558,Cap Malheureux,-19.98,57.61,72.0,79,5,1.99,MU,1589042791
559,Nakhon Ratchasima,14.97,102.1,86.13,64,94,7.14,TH,1589042792
560,Arica,-18.48,-70.3,68.0,72,13,9.17,CL,1589042623
561,Beïnamar,8.67,15.38,89.44,41,80,4.07,TD,1589042792
562,Petropavlovka,50.61,105.32,38.79,72,0,5.08,RU,1589042792
563,Yatsuomachi-higashikumisaka,36.57,137.13,64.0,66,100,4.0,JP,1589042793
564,Preeceville,51.95,-102.67,37.22,75,100,7.45,CA,1589042584
565,Whitehorse,60.72,-135.05,53.01,45,20,2.24,CA,1589042793
566,Pisco,-13.7,-76.22,71.01,82,30,8.05,PE,1589042793
567,Celestún,20.87,-90.4,88.32,58,86,4.94,MX,1589042794
568,Basoko,1.24,23.62,75.88,80,73,2.98,CD,1589042794
